7206,1114024,1.0,2018-03-11,Female,Camera & Photo,"",2015,"",0
7605,1114025,5.0,2018-03-11,Female&Male,Headphones,"",2015,"",0
3806,1114026,3.0,2018-03-11,Male,Headphones,"",2016,Male,0
3806,1114027,1.0,2018-03-11,Male,Headphones,"",2016,"",0
3806,1114028,5.0,2018-03-11,Male,Headphones,"",2016,"",0
3806,1114029,5.0,2018-03-11,Male,Headphones,"",2016,"",0
3806,1114030,4.0,2018-03-11,Male,Headphones,"",2016,"",0
162,1114031,2.0,2018-03-11,Male,Headphones,Sennheiser,2004,"",0
2626,1114032,5.0,2018-03-11,Female&Male,Headphones,EldHus,2013,"",0
274,1114033,5.0,2018-03-11,Female,Computers & Accessories,"",2006,"",0
7510,1114034,5.0,2018-03-11,Male,Computers & Accessories,"",2015,"",0
2159,1114035,5.0,2018-03-11,Male,Portable Audio & Video,Uniden,2012,"",0
6422,1114036,5.0,2018-03-11,Male,Headphones,"",2016,"",0
3076,1114037,5.0,2018-03-11,Male,Camera & Photo,"",2015,Male,0
8647,1114038,1.0,2018-03-11,Female,Computers & Accessories,"",2016,"",0
8462,1114039,5.0,2018-03-11,Female,Camera & Photo,"",2016,"",0
6689,1114040,1.0,2018-03-11,Female&Male,Headphones,Mpow,2015,"",0
4238,1114041,1.0,2018-03-11,Female&Male,Computers & Accessories,"",2014,"",0
9358,1114042,5.0,2018-03-11,Female,Camera & Photo,"",2016,"",0
9490,1114043,5.0,2018-03-11,Female,Accessories & Supplies,"",2017,"",0
9506,1114044,4.0,2018-03-11,Female,Camera & Photo,Sony,2018,"",0
2400,1114045,3.0,2018-03-11,Female&Male,Headphones,JLAB,2012,"",0
5951,1114046,4.0,2018-03-11,Female,Headphones,Etre Jeune,2015,"",0
8815,1114047,3.0,2018-03-11,Male,Accessories & Supplies,"",2016,"",0
5116,1114048,2.0,2018-03-11,Male,Headphones,"",2014,"",0
7579,1114049,5.0,2018-03-11,Female&Male,Headphones,"",2015,"",0
2918,1114050,5.0,2018-03-11,Male,Home Audio,"",2013,Female,0
7069,1114051,3.0,2018-03-11,Male,Computers & Accessories,"",2015,"",0
9225,1114052,5.0,2018-03-11,Male,Camera & Photo,Canon,2016,"",0
5133,1114053,4.0,2018-03-11,Male,Computers & Accessories,"",2015,Female,0
4343,1114054,5.0,2018-03-11,Male,Computers & Accessories,"",2014,"",0
4811,1114055,3.0,2018-03-11,Male,Accessories & Supplies,Jabra,2014,"",0
5041,1114056,5.0,2018-03-11,Male,Headphones,Bose,2014,"",0
5041,1114057,3.0,2018-03-11,Male,Headphones,Bose,2014,Female,0
5041,1114058,1.0,2018-03-11,Male,Headphones,Bose,2014,"",0
5041,1114059,4.0,2018-03-11,Male,Headphones,Bose,2014,"",0
5041,1114060,5.0,2018-03-11,Male,Headphones,Bose,2014,"",0
5055,1114061,5.0,2018-03-11,Male,Headphones,EldHus,2014,Female,0
463,1114062,2.0,2018-03-11,Male,Camera & Photo,"",2017,Female,0
6865,1114063,5.0,2018-03-11,Female&Male,Television & Video,"",2016,"",0
5920,1114064,5.0,2018-03-11,Female,Computers & Accessories,Logitech,2016,"",0
4305,1114065,1.0,2018-03-11,Female&Male,Computers & Accessories,"",2014,"",0
7780,1114066,2.0,2018-03-11,Female&Male,Portable Audio & Video,"",2015,"",0
7780,1114067,5.0,2018-03-11,Female&Male,Portable Audio & Video,"",2015,"",0
7780,1114068,1.0,2018-03-11,Female&Male,Portable Audio & Video,"",2015,"",0
